,SPY
1/3/2013,-0.0022335284516127878
1/4/2013,0.004354183771653336
1/7/2013,-0.002740063082948123
1/8/2013,-0.0028806766269260896
1/9/2013,0.0025416567462081597
1/10/2013,0.007917863118238938
1/11/2013,-6.795407481668061e-05
1/14/2013,-0.0006806343842117398
1/15/2013,0.0006806343842116992
1/16/2013,-0.0001359220044716149
1/17/2013,0.006439313384616273
1/18/2013,0.002227653712173759
1/22/2013,0.005378335165398707
1/23/2013,0.0016079586238617186
1/24/2013,0.00026843010261992667
1/25/2013,0.005605669580110222
1/28/2013,-0.0011980438316280186
1/29/2013,0.003923213216861725
1/30/2013,-0.003923213216861745
1/31/2013,-0.0024688108209830915
2/1/2013,0.010234641055822303
2/4/2013,-0.01133724201076553
2/5/2013,0.010080065121241313
2/6/2013,0.0007283755669496936
2/7/2013,-0.0013240453351211045
2/8/2013,0.005549085372815319
2/11/2013,-0.00019834915043154247
2/12/2013,0.001646568268975154
2/13/2013,0.0008607894724992672
2/14/2013,0.0009135244804490964
2/15/2013,-0.0011827964906019023
2/19/2013,0.007466451368036962
2/20/2013,-0.012541817999261287
2/21/2013,-0.006097405339739596
2/22/2013,0.009725409866062325
2/25/2013,-0.019210067690142944
2/26/2013,0.006821756959367124
2/27/2013,0.01251990186269809
2/28/2013,-0.0019765013428605645
3/1/2013,0.0032922723158397785
3/4/2013,0.005311198214479973
3/5/2013,0.008918815538994327
3/6/2013,0.0013601780077980908
3/7/2013,0.0017849218380087961
3/8/2013,0.004280542744592028
3/11/2013,0.0037887266267037584
3/12/2013,-0.0022459919847325135
3/13/2013,0.0014446005428373828
3/14/2013,0.005277511128266893
3/15/2013,-0.0013226811781725065
3/18/2013,-0.005534176172554866
3/19/2013,-0.0023260336869983514
3/20/2013,0.006961143408459924
3/21/2013,-0.008585668604143202
3/22/2013,0.008007157398000227
3/25/2013,-0.004185812896028237
3/26/2013,0.007970447308866879
3/27/2013,0.0
3/28/2013,0.0030688649190896734
4/1/2013,-0.003965071444901501
4/2/2013,0.004921967694681491
4/3/2013,-0.010191098791945071
4/4/2013,0.004050607659660792
4/5/2013,-0.004514444979810106
4/8/2013,0.0067573635867512975
4/9/2013,0.0034509781525308304
4/10/2013,0.012174412902453581
4/11/2013,0.0032717921421062416
4/12/2013,-0.002453033390284676
4/15/2013,-0.023458853833018416
4/16/2013,0.014667521824194235
4/17/2013,-0.014718997859933192
4/18/2013,-0.006273742168901242
4/19/2013,0.008656283358923225
4/22/2013,0.004428031734773144
4/23/2013,0.010256195165174495
4/24/2013,0.0006335453924571919
4/25/2013,0.00404552341755594
4/26/2013,-0.0017676119083689886
4/29/2013,0.006676308594368801
4/30/2013,0.00238226194839003
5/1/2013,-0.008806306667198852
5/2/2013,0.009244708185398198
5/3/2013,0.01007698754457491
5/6/2013,0.002549968651827398
5/7/2013,0.005055582291744665
5/8/2013,0.0045414348537223224
5/9/2013,-0.0028143904097406355
5/10/2013,0.003242970545371169
5/13/2013,0.0007950183280464154
5/14/2013,0.010281103416231023
5/15/2013,0.005341547657689096
5/16/2013,-0.004676378031637314
5/17/2013,0.009630520394475364
5/20/2013,-5.960468847838468e-05
5/21/2013,0.001436146345474894
5/22/2013,-0.007444980947991877
5/23/2013,-0.002897353633966923
5/24/2013,-0.0008579155111796513
5/28/2013,0.005982622725724765
5/29/2013,-0.006515569357082709
5/30/2013,0.0036854157745433627
5/31/2013,-0.014486351264707618
6/3/2013,0.005521565279123936
6/4/2013,-0.004818340408275659
6/5/2013,-0.014087722758020902
6/6/2013,0.008999994400570178
6/7/2013,0.01264017999677696
6/10/2013,0.0
6/11/2013,-0.010381126993407097
6/12/2013,-0.00829965640997458
6/13/2013,0.015094233698171892
6/14/2013,-0.0063224499240147935
6/17/2013,0.0077218607852227
6/18/2013,0.007845039187447049
6/19/2013,-0.01388351439133666
6/20/2013,-0.0250899985828344
6/21/2013,0.003205365225061427
6/24/2013,-0.012716285969224438
6/25/2013,0.009599541015221761
6/26/2013,0.00982116314036463
6/27/2013,0.005852192209617904
6/28/2013,-0.0041055800664956095
7/1/2013,0.005842766671064421
7/2/2013,-0.0009303686461077237
7/3/2013,0.00043422924424295367
7/5/2013,0.010731188312744305
7/8/2013,0.005658174093462593
7/9/2013,0.007201533955643294
7/10/2013,0.0003758433399004572
7/11/2013,0.013516682967140314
7/12/2013,0.000418075915687398
7/15/2013,0.003842770238564301
7/16/2013,-0.003753778384907507
7/17/2013,0.0025343994916540474
7/18/2013,0.005462147237090292
7/19/2013,0.0017755830252945272
7/22/2013,0.0019483533923118853
7/23/2013,-0.0021260588683474717
7/24/2013,-0.0036724168098662404
7/25/2013,0.002429763502355723
7/26/2013,0.001065638818954066
7/29/2013,-0.003080005069065224
7/30/2013,-1.1596883627558035e-05
7/31/2013,0.0007230983120116395
8/1/2013,0.01149186304776698
8/2/2013,0.0016983641413736172
8/5/2013,-0.0014635405121694017
8/6/2013,-0.005699276906201504
8/7/2013,-0.0032456802970163828
8/8/2013,0.0036581168853399098
8/9/2013,-0.002889912978961397
8/12/2013,-0.0011756491796178228
8/13/2013,0.002945901266421195
8/14/2013,-0.005142027102508138
8/15/2013,-0.014085089120388167
8/16/2013,-0.003311138289940941
8/19/2013,-0.006412815925724551
8/20/2013,0.004904053981826171
8/21/2013,-0.006178943436529098
8/22/2013,0.00907352328250972
8/23/2013,0.003366698606486644
8/26/2013,-0.0037280632144249064
8/27/2013,-0.016214750371036212
8/28/2013,0.0035443975042630162
8/29/2013,0.0015851582480654143
8/30/2013,-0.003172086532557495
