ticker,tuned_ae
A,0.20314856605951687
AAPL,0.3456929882068848
ABBV,0.18625128583348421
ABNB,0.8166245092147794
ABT,0.09195140470900189
ACGL,0.28684464757932476
ACN,0.18634584044648275
ADBE,0.3248195678014599
ADI,0.22202729351150066
ADM,0.09876006852484864
ADP,0.3359194787210628
ADSK,0.23920699423188363
AEE,0.3602075584708901
AEP,0.6183805362132543
AES,0.28394669189025484
AFL,0.2027584707373156
AIG,0.06466924013403895
AIZ,0.2628409612939992
AJG,0.09143482700358602
AKAM,0.11882747352960833
ALB,0.3657405647493809
ALGN,0.08747901973325432
ALL,0.23402438462852623
ALLE,0.26372105946189267
AMAT,0.15711498682892164
AMCR,0.3228111410771675
AMD,0.1254081303830261
AME,0.16296567378178609
AMGN,0.013544499145639089
AMP,0.5007995644473219
AMT,0.22756961671928397
AMZN,0.3441039418881309
ANET,0.5264335155054244
ANSS,0.12282402601355814
AON,0.18743922830059417
AOS,0.5122408847530517
APA,0.22751692800053158
APD,0.3579593321641257
APH,0.48018386405194957
APTV,0.12079029348908267
ARE,0.3320963867038151
ATO,0.26242715123812027
AVB,0.1696313347942102
AVGO,0.4289791723978318
AVY,0.3632332902449884
AWK,0.15593099204793404
AXON,0.3013780869275907
AXP,0.32779197113591557
AZO,0.16785879187613859
BA,0.17420182892384115
BAC,0.22803807424949224
BALL,0.3090214867666897
BAX,0.197727793335915
BBY,0.027364170433840315
BDX,0.03498701073720076
BEN,0.317544432823664
BF.B,0.31700172750431793
BG,0.4996035939772453
BIIB,0.08325987762373904
BK,0.20255018484615145
BKNG,0.0877282201195794
BKR,0.08661736394639453
BLK,0.15452136719866788
BMY,0.0401865124934468
BR,0.23772684012328707
BRK.B,0.5505633191314181
BRO,0.2607542509609097
BSX,0.19974931100824567
BWA,0.27198379186165494
BX,0.4627837508818729
BXP,0.35633297065908687
C,0.6600130940524016
CAG,0.4182446416485616
CAH,0.01913004273451572
CARR,0.4908973899033789
CAT,0.06384675889940529
CB,0.5179680530106361
CBOE,0.2567303845789573
CBRE,0.1298762996567716
CCI,0.26713983274741726
CCL,0.23581140422594002
CDNS,0.3547877550940385
CDW,0.3256122890323414
CE,0.29533948030592055
CEG,0.8236274698896531
CF,0.24141116540583096
CFG,0.3608799412781962
CHD,0.37455168383110865
CHRW,0.27684927705099577
CHTR,0.12362620770532748
CI,0.1829800209499527
CINF,0.14361880269743138
CL,0.12173107816951219
CLX,0.09094301049749962
CMCSA,0.9727594752669467
CME,0.3340354475306428
CMG,0.2919033314714501
CMI,0.3165972848704001
CMS,0.3900836734574638
CNC,0.09559450942190653
CNP,0.2376772121689525
COF,0.11094252939795082
COO,0.1147306032552703
COP,0.21050157251841675
COR,0.4904959867665459
COST,1.205462356541303
CPB,0.026016064439324492
CPRT,0.32489022916811244
CPT,0.11703924942887954
CRL,0.16641019825600922
CRM,0.39860498288014506
CSCO,0.21060092548067547
CSGP,0.09809823197426498
CSX,0.5602227430384809
CTAS,0.09852298144024609
CTLT,0.09018660035717704
CTRA,0.2008467297930766
CTSH,0.21321755007821672
CTVA,0.06992510546027239
CVS,0.1074844951071002
CVX,0.14583784638225095
CZR,0.07181993001449621
D,0.223451844517824
DAL,0.07961801631491791
DD,0.3931980275609586
DE,0.09615953319333098
DFS,0.3958341414390513
DG,0.3263108969706447
DGX,0.16333090020854568
DHI,0.05991369594544926
DHR,0.12054346129496812
DIS,0.2654686243909614
DLR,0.312568702350208
DLTR,0.3430773817441157
DOV,0.38427753068562076
DOW,0.12712506897926265
DPZ,0.40354635017672785
DRI,0.15056552160451475
DTE,0.6439029589365285
DUK,0.19584679667941138
DVA,0.2903816915547175
DVN,0.3276001472561879
DXCM,0.31657097510464366
EA,0.26871016047108326
EBAY,0.2823589729103689
ECL,0.1768358082418395
ED,0.20527509036769614
EFX,0.24501918981179802
EG,0.24696070779365661
EIX,0.0629660920033523
EL,0.24403008188833056
ELV,0.03145184978525901
EMN,0.0957731229461293
EMR,0.08190332873451987
ENPH,0.2794530800385325
EOG,0.3768716973671616
EPAM,0.365966974163077
EQIX,0.3551740216074794
EQR,0.15308455960314024
EQT,0.3355178514837696
ES,0.4321294045868276
ESS,0.7402785866612088
ETN,0.6392519795155077
ETR,0.42346575236191203
EVRG,0.3977966295261854
EW,0.0801173868179304
EXC,0.7278700995438293
EXPD,0.38650837706022434
EXPE,0.2570796632523169
EXR,0.20595801579348247
F,0.22404728360303136
FANG,0.41813100827710736
FAST,1.4077749390112062
FCX,0.06122946351647469
FDS,0.170070711390413
FDX,0.5204473014855446
FE,0.11511407651420763
FFIV,0.6090327109440138
FI,0.1508679789928743
FICO,0.2860885824365088
FIS,0.27655268656239157
FITB,0.19519735048358608
FMC,0.15959574835081033
FOXA,0.3605627867057017
FRT,0.1666092865070443
FSLR,0.2067321202888922
FTNT,0.21166603115433824
FTV,0.35630764307569684
GD,0.4239557867632062
GE,0.4195098422394336
GEN,0.3087651051359536
GILD,0.3115218621126808
GIS,0.009412175167102231
GL,0.17449389559068854
GLW,0.3076084702937742
GM,0.20103386038882995
GNRC,0.4468909202669051
GOOGL,1.5349556067033545
GPC,0.18445833117026822
GPN,0.17451715158661363
GRMN,0.08304783831695
GS,0.2863839302889893
GWW,0.26804672185414025
HAL,0.06381235285085941
HAS,0.3666477779094114
HBAN,0.28020385610531245
HCA,0.5231683525074122
HD,0.1239630040930256
HES,0.16501050302804043
HIG,0.1681887804257799
HII,0.2479973001872233
HLT,0.0665824263334613
HOLX,0.102598174786023
HON,0.16870282765841538
