ticker,tuned_pca
HD,3.5016908079767924e-32
HES,2.605257961134734e-32
HIG,3.6137449138320496e-32
HII,4.2580560224997797e-32
HLT,2.577244434670919e-32
HOLX,2.724315448605945e-32
HON,2.3531362229604046e-32
HPE,3.4736772815129783e-32
HPQ,2.3531362229604046e-32
HRL,2.857379699309063e-32
HSIC,1.2606086908716453e-32
HST,7.395570986446986e-32
HSY,2.7803425015335734e-32
HUBB,2.465190328815662e-32
HUM,1.904919799539375e-32
HWM,9.244463733058732e-33
IBM,8.123922674506158e-33
ICE,1.3726627967269025e-32
IDXX,8.123922674506158e-33
IEX,3.3616231756577205e-32
IFF,2.9134067522366915e-32
INCY,2.5212173817432905e-32
INTC,3.4736772815129783e-32
INTU,1.904919799539375e-32
INVH,6.338060362437994e-32
IP,2.3531362229604046e-32
IPG,3.6137449138320496e-32
IQV,2.752328975069759e-32
IR,8.964328468420589e-33
IRM,3.1935420168748346e-32
ISRG,3.7678193093830285e-32
IT,2.96943380516432e-32
ITW,8.964328468420589e-33
IVZ,4.4452049820104766e-32
J,9.244463733058732e-33
JBHT,2.6892985405261764e-32
JCI,3.4176502285853497e-32
JKHY,6.050921716183897e-32
JNJ,7.710723159164897e-32
JNPR,1.0365004791611306e-32
JPM,9.728134775910527e-32
K,4.3981236548188515e-32
KDP,1.9329333260031894e-32
KEY,2.044987431858447e-32
KEYS,4.7342859723846233e-32
KHC,2.717312066989991e-32
KIM,2.717312066989991e-32
KLAC,4.329840684063304e-32
KMB,3.8378531255425647e-32
KMI,2.717312066989991e-32
KMX,2.9414202787005055e-32
KO,6.106948769111526e-32
KR,2.381149749424219e-32
L,5.693749253770264e-32
LDOS,2.3531362229604046e-32
LEN,1.27951782123472e-31
LH,2.381149749424219e-32
LHX,1.316635743799274e-32
LIN,1.1485545850163879e-32
LKQ,8.621162769238863e-32
LLY,3.389636702121535e-32
LMT,1.6808115878288603e-32
LNT,6.331056980822041e-32
LOW,1.0084869526973163e-32
LRCX,1.820879220147932e-32
LULU,4.0129376659414044e-32
LUV,2.829366172845248e-32
LVS,6.282033309510366e-32
LW,4.7132758275367625e-32
LYB,2.0169739053946326e-32
LYV,5.889843939016965e-32
MA,3.7257990196873074e-32
MAA,3.0814879110195774e-32
MAR,3.7257990196873074e-32
MAS,1.2606086908716453e-32
MCD,9.423487675616546e-32
MCHP,3.7538125461511215e-32
MCK,2.9414202787005055e-32
MCO,3.4176502285853497e-32
MDLZ,1.5967710084374173e-32
MDT,3.949907231397822e-32
MET,3.137514963947206e-32
META,1.054402873416912e-31
MGM,6.898330891714281e-32
MHK,1.3726627967269025e-32
MKC,2.829366172845248e-32
MKTX,2.6892985405261764e-32
MLM,5.553681621451193e-32
MMC,1.232595164407831e-32
MMM,2.6892985405261764e-32
MNST,1.3420230021571058e-31
MO,5.070448289950395e-32
MOH,4.944387420863231e-32
MOS,2.577244434670919e-32
MPC,4.2580560224997797e-32
MPWR,5.497654568523564e-32
MRK,2.9134067522366915e-32
MRNA,3.977920757861636e-32
MRO,4.370110128355037e-32
MS,8.095909148042344e-32
MSCI,4.6782589194569947e-32
MSFT,4.8463400782398806e-32
MSI,2.9134067522366915e-32
MTB,2.6612850140623624e-32
MTCH,1.7102257906158654e-31
MTD,5.994894663256268e-32
MU,1.48471690258216e-32
NCLH,3.221555543338649e-32
NDAQ,4.2860695489635937e-32
NDSN,1.4286898496545314e-32
NEE,1.4567033761183457e-32
NEM,1.0336991265147492e-31
NFLX,1.2977266134361994e-31
NI,5.406610607516168e-32
NKE,2.745325593453805e-32
NOC,1.7928656936841178e-32
NOW,3.8938801784701933e-32
NRG,3.80983959907875e-32
NSC,5.630718819226682e-32
NTAP,4.8463400782398806e-32
NTRS,3.5016908079767924e-32
NUE,5.74277292508194e-32
NVDA,3.3616231756577205e-32
NVR,5.956485492206273e-32
NWSA,3.902634405490135e-32
NXPI,5.042434763486581e-32
O,3.7538125461511215e-32
ODFL,8.558132334695281e-32
OKE,2.96943380516432e-32
OMC,4.2860695489635937e-32
ON,4.930380657631324e-32
ORCL,6.450114468293252e-32
ORLY,4.240547568459896e-32
OTIS,4.930380657631324e-32
OXY,3.9218937049340074e-32
PANW,4.608225103297459e-32
PARA,1.9206774081752708e-32
PAYC,6.737253114547349e-32
PAYX,3.221555543338649e-32
PCAR,2.0730009583222612e-32
PCG,7.731733304012757e-32
PEG,2.1290280112498898e-32
PEP,1.6808115878288603e-32
PFE,6.450114468293252e-32
PFG,2.4371768023518476e-32
PG,3.4176502285853497e-32
PGR,3.445663755049164e-32
PH,4.958394184095138e-32
PHM,2.0730009583222612e-32
PKG,2.1570415377137042e-32
PLD,2.6892985405261764e-32
PM,3.053474384555763e-32
PNC,3.4806806631289316e-32
PNR,2.2971091700327757e-32
PNW,1.5967710084374173e-32
PODD,2.4721937104316157e-32
POOL,4.5802115768336444e-32
PPG,2.829366172845248e-32
PPL,5.09846181641421e-32
PRU,4.834084160411962e-32
PSA,3.3970777950884856e-32
PSX,1.0084869526973163e-32
PTC,6.221738570910515e-32
PWR,3.7328024013032607e-32
PYPL,2.0169739053946326e-32
QCOM,6.387084033749669e-32
QRVO,3.1935420168748346e-32
RCL,3.249569069802463e-32
REG,2.9134067522366915e-32
REGN,2.4161666575039868e-32
RF,5.602705292762868e-33
RJF,2.1290280112498898e-32
RL,4.62688254963371e-33
RMD,2.2690956435689614e-32
ROK,3.592734768984189e-32
ROL,9.968547735445683e-32
ROP,5.014421237022767e-32
ROST,2.5212173817432905e-32
RSG,6.219002874966784e-32
RTX,1.2606086908716453e-32
RVTY,1.904919799539375e-32
SBAC,2.9134067522366915e-32
SBUX,3.277582596266278e-32
SCHW,3.14451834556316e-32
SHW,8.964328468420589e-33
SJM,4.2860695489635937e-32
SLB,2.752328975069759e-32
SNA,4.881356986319649e-32
SNPS,4.7622994988484376e-33
SO,1.771855548836257e-32
SPG,4.82532993339202e-32
SPGI,1.568757481973603e-32
SRE,2.241082117105147e-32
STE,6.912337654946189e-32
STLD,3.648761821911818e-32
STT,7.87180093633183e-32
STX,1.7368386407564892e-32
STZ,6.422100941829437e-32
SWK,5.154488869341838e-32
SWKS,1.48471690258216e-32
SYF,4.5451946687538766e-32
SYK,2.0730009583222612e-32
SYY,5.8828405574010116e-33
T,6.86375169498551e-32
TAP,1.0084869526973163e-32
TDG,9.113150327759602e-32
TDY,4.944387420863231e-32
TECH,4.482164234210294e-32
TEL,2.0169739053946326e-32
TER,1.820879220147932e-32
TFC,3.636505904083899e-32
TFX,3.004450713244088e-32
TGT,3.949907231397822e-32
TJX,2.241082117105147e-32
TMO,1.2606086908716453e-32
TMUS,7.115435721808842e-32
TPR,1.400676323190717e-32
TRGP,4.5802115768336444e-32
TRMB,3.137514963947206e-32
TROW,1.2886222173354596e-32
TRV,1.0084869526973163e-32
TSCO,3.249569069802463e-32
TSLA,6.870317365250467e-32
TSN,3.424653610201303e-32
TT,5.49065118690761e-32
TTWO,3.844856507158518e-32
TXN,4.061961337253079e-32
TXT,1.820879220147932e-32
TYL,2.2130685906413328e-32
UAL,5.014421237022767e-32
UDR,4.657248774609134e-32
UHS,5.527418940391367e-32
ULTA,3.0324642397079025e-32
UNH,1.988960378930818e-32
UNP,3.389636702121535e-32
