scaler,whiten,n_components,Mean_Val_Error,Std_Val_Error,Mean_EVR
standard,False,2,0.37098497899685745,0.025079462821957433,0.6365227320574723
standard,False,3,0.2729454016082734,0.014657596073311754,0.7373972185335632
standard,False,4,0.20274228706960132,0.008633873582584436,0.8106842955569107
standard,False,5,0.13382394266741748,0.0098414829546951,0.874472850019929
standard,False,6,0.07470408385777874,0.008871791009165087,0.9300245037920603
standard,False,7,0.03882687568020653,0.002587180495792864,0.964333509668009
standard,False,8,0.007318220413044462,0.0004449846384265831,0.9930487222620424
standard,False,9,0.0035543391150207543,0.0003626884962160077,0.9967798608621543
standard,False,10,0.0008734670453022281,0.00021937695471936058,0.9991723347881335
standard,False,11,8.286347012871734e-31,1.463784080266166e-31,1.0
standard,True,2,0.37098497899685745,0.025079462821957433,0.6365227320574723
standard,True,3,0.2729454016082734,0.01465759607331175,0.7373972185335632
standard,True,4,0.20274228706960132,0.008633873582584436,0.8106842955569107
standard,True,5,0.13382394266741748,0.009841482954695094,0.874472850019929
standard,True,6,0.07470408385777874,0.008871791009165087,0.9300245037920603
standard,True,7,0.03882687568020653,0.0025871804957928613,0.964333509668009
standard,True,8,0.00731822041304446,0.0004449846384265829,0.9930487222620424
standard,True,9,0.0035543391150207543,0.00036268849621600796,0.9967798608621543
standard,True,10,0.0008734670453022283,0.00021937695471936072,0.9991723347881335
standard,True,11,8.396201749478748e-31,1.413853904060374e-31,1.0
minmax,False,2,0.017956005073628982,0.0011908038978656675,0.6119143411356094
minmax,False,3,0.01299380772744103,0.0006264824849225584,0.7226354225479235
minmax,False,4,0.009539349750809794,0.00032686016671724434,0.8021620283811244
minmax,False,5,0.006123858697709344,0.00028308181973640383,0.8733111729955716
minmax,False,6,0.003111115115470712,0.00033098468321968454,0.9350956632698976
minmax,False,7,0.0013590459239332235,0.00012128459467481728,0.9721474402118311
minmax,False,8,0.0002941537571228898,1.7033587625590735e-05,0.9938118155082201
minmax,False,9,0.00013616945682763876,1.4384158078302487e-05,0.9972735435204323
minmax,False,10,2.6726848434536837e-05,6.702809223641794e-06,0.99943797506662
minmax,False,11,4.009979793691242e-32,5.7873045076248594e-33,1.0
minmax,True,2,0.017956005073628982,0.0011908038978656668,0.6119143411356094
minmax,True,3,0.01299380772744103,0.0006264824849225584,0.7226354225479235
minmax,True,4,0.009539349750809794,0.00032686016671724434,0.8021620283811244
minmax,True,5,0.006123858697709343,0.0002830818197364036,0.8733111729955716
minmax,True,6,0.003111115115470712,0.0003309846832196847,0.9350956632698976
minmax,True,7,0.0013590459239332235,0.00012128459467481734,0.9721474402118311
minmax,True,8,0.00029415375712288984,1.703358762559076e-05,0.9938118155082201
minmax,True,9,0.0001361694568276388,1.4384158078302476e-05,0.9972735435204323
minmax,True,10,2.6726848434536837e-05,6.702809223641796e-06,0.99943797506662
minmax,True,11,4.0234161883162146e-32,6.071609749727009e-33,1.0
robust,False,2,0.17948384680298346,0.01268432269176409,0.6426432885254153
robust,False,3,0.11965431156459365,0.006971522525772256,0.7648981279317257
robust,False,4,0.08533095348857299,0.004133781607385151,0.8348390241168039
robust,False,5,0.05764810067806939,0.004127276218551724,0.8902652005078726
robust,False,6,0.033620276758444215,0.003968190339869922,0.9358331531557325
robust,False,7,0.018051124176057802,0.0010786321805209193,0.9660527418412077
robust,False,8,0.003841468315811048,0.00023139879323121266,0.9925807663655789
robust,False,9,0.00185639746302993,0.00013913590036298128,0.9966021107418997
robust,False,10,0.00046674427023737865,0.00011715811949745733,0.9991001707571107
robust,False,11,4.984437567805684e-31,4.31547239723479e-31,1.0
robust,True,2,0.17948384680298346,0.01268432269176409,0.6426432885254153
robust,True,3,0.11965431156459365,0.006971522525772259,0.7648981279317257
robust,True,4,0.08533095348857299,0.004133781607385151,0.8348390241168039
robust,True,5,0.05764810067806939,0.004127276218551724,0.8902652005078726
robust,True,6,0.033620276758444215,0.003968190339869924,0.9358331531557325
robust,True,7,0.018051124176057802,0.0010786321805209206,0.9660527418412077
robust,True,8,0.003841468315811048,0.00023139879323121312,0.9925807663655789
robust,True,9,0.0018563974630299302,0.00013913590036298157,0.9966021107418997
robust,True,10,0.00046674427023737865,0.00011715811949745729,0.9991001707571107
robust,True,11,4.996475978578213e-31,4.316011390855251e-31,1.0
