ticker,baseline_ae
A,0.1736004845854658
AAPL,0.08149811599279265
ABBV,0.05948197790967653
ABNB,0.45475708687903166
ABT,0.038084687556784895
ACGL,0.14450192974921997
ACN,0.010273398808318375
ADBE,0.019260012205428504
ADI,0.1782228060646633
ADM,0.030459272763894495
ADP,0.14941714649792004
ADSK,0.031001127538677745
AEE,0.15890771074047538
AEP,0.09568065826350437
AES,0.13975554307751742
AFL,0.20181961494886613
AIG,0.052437551686350246
AIZ,0.13293926630206795
AJG,0.11446625755378537
AKAM,0.0904841189375145
ALB,0.1387043203069505
ALGN,0.010186822471423778
ALL,0.10874827390015161
ALLE,0.02076991362751009
AMAT,0.050765063464712414
AMCR,0.24421967679851378
AMD,0.028796153369718
AME,0.0879103865189578
AMGN,0.020019864869726213
AMP,0.17569304281591108
AMT,0.11965773311403564
AMZN,0.09021146235145015
ANET,0.22452918611770192
ANSS,0.02925298480563
AON,0.18619272800690137
AOS,0.5563407984151257
APA,0.06388872819979921
APD,0.26348789209006257
APH,0.07482845417064189
APTV,0.056976153299632154
ARE,0.2461007124849489
ATO,0.07917116137909944
AVB,0.03227156701390052
AVGO,0.06971160963768545
AVY,0.15724288724879434
AWK,0.045876680544609
AXON,0.04805858352383854
AXP,0.11642469306637827
AZO,0.08033818898246779
BA,0.016049222572405795
BAC,0.0921339105440615
BALL,0.1430835094652753
BAX,0.07449410379615917
BBY,0.043776558943053
BDX,0.010330482742396055
BEN,0.0744870027267769
BF.B,0.026993479015184493
BG,0.17087319428490183
BIIB,0.022914457205778446
BK,0.05846494286294508
BKNG,0.038871023812621565
BKR,0.018352435782985167
BLK,0.05563162136404387
BMY,0.055439971317982596
BR,0.14964350415600908
BRK.B,0.11308047506984033
BRO,0.14569367160930682
BSX,0.125422362450459
BWA,0.19576280244698988
BX,0.24072510544844927
BXP,0.2650392481104199
C,0.13705893870747962
CAG,0.016130448407303807
CAH,0.0027447757734890207
CARR,0.19894818089778762
CAT,0.03663819744703516
CB,0.3618569033268667
CBOE,0.061216282321041815
CBRE,0.11876213924448104
CCI,0.21184712214267104
CCL,0.1731285041903778
CDNS,0.1614998573422707
CDW,0.2823369185422088
CE,0.10065272848785033
CEG,0.48900554486286185
CF,0.23305023194880697
CFG,0.08830545361113146
CHD,0.02410986328393698
CHRW,0.13620034156435293
CHTR,0.13151485586201156
CI,0.09680225001493716
CINF,0.22534569309882163
CL,0.04897804544485147
CLX,0.09676338496639349
CMCSA,0.5018567847827563
CME,0.13396247982195778
CMG,0.040408888496202465
CMI,0.1890401441195902
CMS,0.28783907177122897
CNC,0.09255161910322528
CNP,0.0757934476912828
COF,0.0972283798642979
COO,0.036852318556642
COP,0.006795983116950089
COR,0.3700636174146413
COST,0.36293606608305207
CPB,0.011208638033851763
CPRT,0.1668627644262553
CPT,0.10849018249639159
CRL,0.15530084319516874
CRM,0.012767281651611128
CSCO,0.07504055346303334
CSGP,0.11504797322227693
CSX,0.1703905638764522
CTAS,0.02168568272663245
CTLT,0.012305563862024926
CTRA,0.06753576622547722
CTSH,0.1269247711648944
CTVA,0.08774810117420165
CVS,0.019492374411150107
CVX,0.052663359714403765
CZR,0.07979127912517382
D,0.12149712374297024
DAL,0.09467860057957317
DD,0.3795525810492269
DE,0.04680327991183411
DFS,0.20378541519942522
DG,0.16798373853476517
DGX,0.06349962551505088
DHI,0.029810590670656167
DHR,0.06585348614506827
DIS,0.13513327637412778
DLR,0.2958745872610743
DLTR,0.23072156434192329
DOV,0.34197369541611505
DOW,0.09358102477877729
DPZ,0.1129285013398425
DRI,0.08582827070523248
DTE,0.28278887549089704
DUK,0.044170536500531404
DVA,0.0745750199022323
DVN,0.23393677694424578
DXCM,0.1590256312419555
EA,0.15358977747720573
EBAY,0.14962652984803004
ECL,0.14734885390309
ED,0.1671722698238343
EFX,0.21439326985105522
EG,0.30822549387727016
EIX,0.05030988723194532
EL,0.0648759079386394
ELV,0.024553839838128352
EMN,0.056745379411526436
EMR,0.018861319168973545
ENPH,0.08311039350539097
EOG,0.2809678530799218
EPAM,0.30434450259019397
EQIX,0.05864418192420457
EQR,0.03814501251944204
EQT,0.09288274452974812
ES,0.22998059435895507
ESS,0.5004572056165028
ETN,0.12029683559529197
ETR,0.1555839802447108
EVRG,0.37767256929010495
EW,0.03174086928257813
EXC,0.1477264831967386
EXPD,0.1597557001077987
EXPE,0.0451485922689595
EXR,0.12943857701511557
F,0.015803001313851584
FANG,0.24821840029635392
FAST,0.8157552472610191
FCX,0.03573839258180301
FDS,0.08717018863590584
FDX,0.30438297454473245
FE,0.0677234356108713
FFIV,0.19415497610997823
FI,0.11753443271035523
FICO,0.1061855423750114
FIS,0.2072281580639623
FITB,0.13556781905321813
FMC,0.11041514339923672
FOXA,0.24958816917934945
FRT,0.1991511282063481
FSLR,0.18351094146430114
FTNT,0.05324978910666731
FTV,0.2503132577474089
GD,0.06728903591223007
GE,0.03243287013670976
GEN,0.08714398667228904
GILD,0.23320097258479267
GIS,0.008385894381100184
GL,0.10797653396627789
GLW,0.015709779154035406
GM,0.042841739384809036
GNRC,0.20379195220517657
GOOGL,0.6882482184449986
GPC,0.07322479305014812
GPN,0.1384153943134896
GRMN,0.026862770901991198
GS,0.13274120243570112
GWW,0.16553957418466395
HAL,0.013601462113485417
HAS,0.2412199190790136
HBAN,0.009169245417465227
HCA,0.19609859841920677
HD,0.08845274050990887
HES,0.080174675945166
HIG,0.04013144199237929
HII,0.10541621139357821
HLT,0.04011503396830432
HOLX,0.12105651443005008
HON,0.09383022712311485
