ticker,baseline_pca,tuned_pca,baseline_if,tuned_if,baseline_ae,tuned_ae,diff_pca,diff_if,diff_ae
A,0.05088241885014897,1.1989789326512537e-31,0.5161773294906634,0.5468132324288765,0.1736004845854658,0.20314856605951687,-0.05088241885014897,0.030635902938213055,0.02954808147405108
AAPL,0.0428600899929243,4.986407710558953e-32,0.5063671468088312,0.5374095643704901,0.08149811599279265,0.3456929882068848,-0.0428600899929243,0.03104241756165893,0.26419487221409216
ABBV,0.05605394077882329,3.249569069802463e-32,0.4743732219749912,0.504078381782737,0.05948197790967653,0.18625128583348421,-0.05605394077882329,0.029705159807745796,0.1267693079238077
ABNB,0.41004623605760904,1.7964357768906879e-31,0.6450580690511181,0.6660373870347975,0.45475708687903166,0.8166245092147794,-0.41004623605760904,0.02097931798367947,0.3618674223357477
ABT,0.0678430394762155,2.1570415377137042e-32,0.46460615508387515,0.49674666273542306,0.038084687556784895,0.09195140470900189,-0.0678430394762155,0.03214050765154791,0.05386671715221699
ACGL,0.03211045147525906,5.140482106109932e-32,0.4865893038267519,0.5195602216106128,0.14450192974921997,0.28684464757932476,-0.03211045147525906,0.032970917783860854,0.1423427178301048
ACN,0.052042971457966575,5.49065118690761e-32,0.4821951192358869,0.5157511127362774,0.010273398808318375,0.18634584044648275,-0.052042971457966575,0.03355599350039046,0.17607244163816438
ADBE,0.015144796692079866,2.2690956435689614e-32,0.4583339256366465,0.4780130170201473,0.019260012205428504,0.3248195678014599,-0.015144796692079866,0.019679091383500824,0.3055595555960314
ADI,0.10669422394887387,2.241082117105147e-32,0.4174724328064741,0.4461040846611206,0.1782228060646633,0.22202729351150066,-0.10669422394887387,0.0286316518546465,0.04380448744683735
ADM,0.05644878591133955,1.904919799539375e-32,0.4133610751509525,0.44408293759467715,0.030459272763894495,0.09876006852484864,-0.05644878591133955,0.030721862443724657,0.06830079576095414
ADP,0.2032944715005188,2.577244434670919e-32,0.4379193462631941,0.46219286816658334,0.14941714649792004,0.3359194787210628,-0.2032944715005188,0.024273521903389217,0.18650233222314277
ADSK,0.12443570197906065,6.387084033749669e-32,0.4995733706204429,0.5252201323517715,0.031001127538677745,0.23920699423188363,-0.12443570197906065,0.02564676173132857,0.2082058666932059
AEE,0.15234568593095818,6.341999764596969e-32,0.5033586977932503,0.5283220251554762,0.15890771074047538,0.3602075584708901,-0.15234568593095818,0.02496332736222595,0.2012998477304147
AEP,0.1738407743825225,4.510177760674109e-32,0.45514326509078507,0.489001614916592,0.09568065826350437,0.6183805362132543,-0.1738407743825225,0.03385834982580693,0.5226998779497499
AES,0.07488148245771596,6.078935242647712e-32,0.5033752618634405,0.5343714936360476,0.13975554307751742,0.28394669189025484,-0.07488148245771596,0.03099623177260713,0.14419114881273742
AFL,0.06055815034422278,4.573208195217691e-32,0.42962319219038103,0.4589687453593508,0.20181961494886613,0.2027584707373156,-0.06055815034422278,0.02934555316896975,0.0009388557884494608
AIG,0.03829519051213151,8.123922674506158e-33,0.4354637407185409,0.47060255915109694,0.052437551686350246,0.06466924013403895,-0.03829519051213151,0.03513881843255606,0.012231688447688703
AIZ,0.20954570385281227,4.1249917717966616e-32,0.4423025338698819,0.47382448037862507,0.13293926630206795,0.2628409612939992,-0.20954570385281227,0.03152194650874318,0.12990169499193124
AJG,0.051111802041385296,3.221555543338649e-32,0.4315698217659227,0.46264545819342756,0.11446625755378537,0.09143482700358602,-0.051111802041385296,0.031075636427504882,-0.02303143055019935
AKAM,0.08734048154765335,5.182502395805652e-32,0.42142588327435493,0.45707233733088426,0.0904841189375145,0.11882747352960833,-0.08734048154765335,0.03564645405652933,0.028343354592093833
ALB,0.14958210698852162,7.087422195345028e-32,0.45275249307611826,0.4728330406994842,0.1387043203069505,0.3657405647493809,-0.14958210698852162,0.02008054762336592,0.22703624444243037
ALGN,0.00958477479155022,6.03691495295199e-32,0.4646588586973798,0.5015242780911287,0.010186822471423778,0.08747901973325432,-0.00958477479155022,0.03686541939374888,0.07729219726183055
ALL,0.17160025438071802,3.389636702121535e-32,0.4377680568955222,0.4671525818355013,0.10874827390015161,0.23402438462852623,-0.17160025438071802,0.029384524939979118,0.12527611072837463
ALLE,0.15104623813642049,2.724315448605945e-32,0.44728191324242056,0.4706414500555982,0.02076991362751009,0.26372105946189267,-0.15104623813642049,0.02335953681317765,0.24295114583438257
AMAT,0.08670954203875317,4.5942183400655515e-32,0.44129751591696287,0.4793593968526933,0.050765063464712414,0.15711498682892164,-0.08670954203875317,0.03806188093573043,0.10634992336420923
AMCR,0.1774978063804509,4.8463400782398806e-32,0.440709311733482,0.4677643616892682,0.24421967679851378,0.3228111410771675,-0.1774978063804509,0.027055049955786226,0.07859146427865374
AMD,0.02508850418374486,6.723246351315441e-33,0.41415860116114184,0.4423051953306378,0.028796153369718,0.1254081303830261,-0.02508850418374486,0.028146594169495942,0.09661197701330809
AME,0.1042854406083137,6.254019783046552e-32,0.4874778466776003,0.509454202407871,0.0879103865189578,0.16296567378178609,-0.1042854406083137,0.02197635573027068,0.07505528726282829
AMGN,0.006291158893493457,5.602705292762868e-33,0.40435871115197614,0.42937036796883393,0.020019864869726213,0.013544499145639089,-0.006291158893493457,0.025011656816857797,-0.006475365724087124
AMP,0.4164368844202629,3.277582596266278e-32,0.45968913750515317,0.4999595494543193,0.17569304281591108,0.5007995644473219,-0.4164368844202629,0.04027041194916614,0.3251065216314108
AMT,0.13870614935837802,2.6892985405261764e-32,0.42609487830095005,0.4569828875895094,0.11965773311403564,0.22756961671928397,-0.13870614935837802,0.030888009288559337,0.10791188360524832
AMZN,0.023801248933970176,5.602705292762868e-32,0.4795849014667211,0.5001041437145098,0.09021146235145015,0.3441039418881309,-0.023801248933970176,0.020519242247788727,0.25389247953668076
ANET,0.08330503869758828,3.249569069802463e-32,0.47780544021969884,0.502538625727325,0.22452918611770192,0.5264335155054244,-0.08330503869758828,0.024733185507626154,0.3019043293877225
ANSS,0.05273766871793721,2.605257961134734e-32,0.43956301948053617,0.4709357778749718,0.02925298480563,0.12282402601355814,-0.05273766871793721,0.03137275839443565,0.09357104120792814
AON,0.06279520063218406,3.389636702121535e-32,0.42183875763619066,0.453368646411303,0.18619272800690137,0.18743922830059417,-0.06279520063218406,0.031529888775112314,0.0012465002936928038
AOS,0.15085529292308367,4.913309914942437e-32,0.4959812270489615,0.5168265604630656,0.5563407984151257,0.5122408847530517,-0.15085529292308367,0.020845333414104106,-0.044099913662074
APA,0.18264740330644508,1.7928656936841178e-32,0.4298792622599837,0.46053212484437595,0.06388872819979921,0.22751692800053158,-0.18264740330644508,0.03065286258439226,0.16362819980073237
APD,0.07817007257072099,3.3616231756577205e-32,0.4757641379627932,0.4986072412923125,0.26348789209006257,0.3579593321641257,-0.07817007257072099,0.022843103329519276,0.0944714400740631
APH,0.048645625947902144,4.061961337253079e-32,0.4462620882146032,0.4737667656314207,0.07482845417064189,0.48018386405194957,-0.048645625947902144,0.027504677416817502,0.4053554098813077
APTV,0.07922693588373947,3.053474384555763e-32,0.4110012953109725,0.4312057264279852,0.056976153299632154,0.12079029348908267,-0.07922693588373947,0.0202044311170127,0.06381414018945052
ARE,0.2831058954009893,3.055225229959751e-32,0.464001117242489,0.48046456077072863,0.2461007124849489,0.3320963867038151,-0.2831058954009893,0.01646344352823964,0.08599567421886617
ATO,0.1643821690275777,4.7132758275367625e-32,0.4956614988905568,0.5197450435032809,0.07917116137909944,0.26242715123812027,-0.1643821690275777,0.024083544612724106,0.18325598985902083
AVB,0.02233732351782149,2.0169739053946326e-32,0.4247268853112942,0.45175238314921723,0.03227156701390052,0.1696313347942102,-0.02233732351782149,0.027025497837923018,0.13735976778030967
AVGO,0.02351286527245897,3.445663755049164e-32,0.4757755390622841,0.4978129586436751,0.06971160963768545,0.4289791723978318,-0.02351286527245897,0.022037419581390993,0.3592675627601463
AVY,0.1913726285272028,2.044987431858447e-32,0.44469658373143706,0.46641850257154455,0.15724288724879434,0.3632332902449884,-0.1913726285272028,0.02172191884010749,0.20599040299619406
AWK,0.017420400390739606,5.93886761032864e-32,0.4549126609471456,0.4832027489974733,0.045876680544609,0.15593099204793404,-0.017420400390739606,0.028290088050327677,0.11005431150332504
AXON,0.02517935341174927,1.2052929188893869e-31,0.5667936723414342,0.5931073167213605,0.04805858352383854,0.3013780869275907,-0.02517935341174927,0.026313644379926338,0.2533195034037522
AXP,0.26386835266299546,2.0169739053946326e-32,0.4420898152284846,0.47699198469637766,0.11642469306637827,0.32779197113591557,-0.26386835266299546,0.03490216946789304,0.2113672780695373
AZO,0.10520846215213955,2.4932038552794765e-32,0.4186576582359778,0.4470378869320052,0.08033818898246779,0.16785879187613859,-0.10520846215213955,0.02838022869602741,0.08752060289367079
BA,0.01635642901757421,4.405127036434805e-32,0.45773390358794813,0.48499235366523386,0.016049222572405795,0.17420182892384115,-0.01635642901757421,0.027258450077285723,0.15815260635143535
BAC,0.04952673128835372,3.844856507158518e-32,0.48833647012985615,0.5130673658714346,0.0921339105440615,0.22803807424949224,-0.04952673128835372,0.024730895741578496,0.13590416370543074
BALL,0.293059205107453,2.381149749424219e-32,0.48789563742358044,0.5064640081516195,0.1430835094652753,0.3090214867666897,-0.293059205107453,0.018568370728039074,0.16593797730141444
BAX,0.08090095756723335,2.241082117105147e-32,0.492586160549531,0.5194726832991101,0.07449410379615917,0.197727793335915,-0.08090095756723335,0.02688652274957909,0.12323368953975583
BBY,0.02836543035550345,1.904919799539375e-32,0.41827713451134974,0.4549249552483667,0.043776558943053,0.027364170433840315,-0.02836543035550345,0.036647820737016945,-0.016412388509212682
BDX,0.010700031773617643,1.7928656936841178e-32,0.4432504420629649,0.4718071193832654,0.010330482742396055,0.03498701073720076,-0.010700031773617643,0.02855667732030054,0.0246565279948047
BEN,0.1551156717938479,5.182502395805652e-32,0.4474054686308632,0.47879858770700556,0.0744870027267769,0.317544432823664,-0.1551156717938479,0.03139311907614234,0.24305743009688713
BF.B,0.10497609626600433,3.977920757861636e-32,0.4352026954285329,0.4606646278537569,0.026993479015184493,0.31700172750431793,-0.10497609626600433,0.025461932425223988,0.2900082484891334
BG,0.22659745276244897,2.1850550641775185e-32,0.47313185519550693,0.5044060004029945,0.17087319428490183,0.4996035939772453,-0.22659745276244897,0.031274145207487614,0.32873039969234347
BIIB,0.028505102128102686,1.0084869526973163e-32,0.42280625299147145,0.4505868570376165,0.022914457205778446,0.08325987762373904,-0.028505102128102686,0.02778060404614502,0.060345420417960594
BK,0.04562075335545913,3.277582596266278e-32,0.45787091981189926,0.4932659669943863,0.05846494286294508,0.20255018484615145,-0.04562075335545913,0.03539504718248704,0.14408524198320638
BKNG,0.03334272598719937,6.21199949335083e-32,0.49357269746080495,0.5300787384129731,0.038871023812621565,0.0877282201195794,-0.03334272598719937,0.036506040952168195,0.04885719630695783
BKR,0.042575339694191285,3.9218937049340074e-32,0.47663081926003015,0.5000121194773606,0.018352435782985167,0.08661736394639453,-0.042575339694191285,0.023381300217330425,0.06826492816340937
BLK,0.11024689680062459,1.3726627967269025e-32,0.4117727228712277,0.4387812374452195,0.05563162136404387,0.15452136719866788,-0.11024689680062459,0.027008514573991838,0.09888974583462401
BMY,0.01786275067245964,1.232595164407831e-32,0.42965801524793273,0.46117296303442856,0.055439971317982596,0.0401865124934468,-0.01786275067245964,0.03151494778649583,-0.015253458824535798
BR,0.06104005641915173,2.044987431858447e-32,0.4098573726893454,0.4343602581601392,0.14964350415600908,0.23772684012328707,-0.06104005641915173,0.024502885470793767,0.08808333596727799
BRK.B,0.26539840691245614,2.077903325453429e-31,0.6585379061473682,0.6655682644815933,0.11308047506984033,0.5505633191314181,-0.26539840691245614,0.007030358334225162,0.4374828440615778
BRO,0.027459200676686335,8.025875331882809e-32,0.5041795202231146,0.5438315959647485,0.14569367160930682,0.2607542509609097,-0.027459200676686335,0.039652075741633874,0.11506057935160288
BSX,0.11805390997116588,1.7928656936841178e-32,0.43732756340015244,0.4592835125977459,0.125422362450459,0.19974931100824567,-0.11805390997116588,0.021955949197593472,0.07432694855778665
BWA,0.19168534771983456,3.1655284904110206e-32,0.44841657282109876,0.4787980183702077,0.19576280244698988,0.27198379186165494,-0.19168534771983456,0.030381445549108932,0.07622098941466507
BX,0.12796376821706743,1.3533268977966058e-31,0.6082681893005207,0.6219966519305462,0.24072510544844927,0.4627837508818729,-0.12796376821706743,0.013728462630025473,0.22205864543342363
BXP,0.20382739830605773,3.433407837221245e-32,0.44768008829627726,0.4748860499853485,0.2650392481104199,0.35633297065908687,-0.20382739830605773,0.027205961689071245,0.09129372254866697
C,0.04435544605152705,8.859277744181285e-32,0.5312024084839008,0.5475241672486479,0.13705893870747962,0.6600130940524016,-0.04435544605152705,0.016321758764747174,0.522954155344922
CAG,0.2409958182788297,3.1655284904110206e-32,0.47259615497157575,0.5059242998998736,0.016130448407303807,0.4182446416485616,-0.2409958182788297,0.03332814492829789,0.4021141932412578
CAH,0.0009750668496020282,1.5127304290459744e-32,0.42377529499154404,0.46245497487659665,0.0027447757734890207,0.01913004273451572,-0.0009750668496020282,0.03867967988505261,0.016385266961026698
CARR,0.10903884795466179,2.5212173817432905e-32,0.4632108884819171,0.49215176767150026,0.19894818089778762,0.4908973899033789,-0.10903884795466179,0.028940879189583157,0.2919492090055913
CAT,0.031858861136466604,1.0084869526973163e-32,0.41868999694604625,0.4452681248064451,0.03663819744703516,0.06384675889940529,-0.031858861136466604,0.02657812786039887,0.027208561452370127
CB,0.09548768919023165,3.594485614388177e-32,0.4876551041048793,0.516534582632721,0.3618569033268667,0.5179680530106361,-0.09548768919023165,0.02887947852784173,0.15611114968376938
CBOE,0.12943821165647337,3.789732233892321e-32,0.4565801973881621,0.4795798496699197,0.061216282321041815,0.2567303845789573,-0.12943821165647337,0.0229996522817576,0.1955141022579155
CBRE,0.060079969881835484,5.826813504473383e-32,0.5014059230183937,0.5432441859221472,0.11876213924448104,0.1298762996567716,-0.060079969881835484,0.041838262903753476,0.011114160412290575
CCI,0.19070599713630865,3.109501437483392e-32,0.430781479621476,0.4500320013624131,0.21184712214267104,0.26713983274741726,-0.19070599713630865,0.01925052174093711,0.05529271060474622
CCL,0.2153926589682354,8.964328468420589e-33,0.43644612313759895,0.46865762140130296,0.1731285041903778,0.23581140422594002,-0.2153926589682354,0.03221149826370401,0.0626829000355622
CDNS,0.017920740710060865,1.820879220147932e-32,0.4240083938928938,0.44969454751018967,0.1614998573422707,0.3547877550940385,-0.017920740710060865,0.02568615361729587,0.19328789775176777
CDW,0.2661931642969603,3.648761821911818e-32,0.44066921668549824,0.47094881862324767,0.2823369185422088,0.3256122890323414,-0.2661931642969603,0.030279601937749423,0.04327537049013258
CE,0.12409621544174797,5.238529448733282e-32,0.44754402927310594,0.4779712797677682,0.10065272848785033,0.29533948030592055,-0.12409621544174797,0.030427250494662272,0.19468675181807021
CEG,0.4640516688738744,2.857379699309063e-32,0.4998559356845112,0.5345386841019286,0.48900554486286185,0.8236274698896531,-0.4640516688738744,0.03468274841741742,0.3346219250267912
CF,0.2523289297600407,5.406610607516168e-32,0.4536936325259057,0.47951481011312524,0.23305023194880697,0.24141116540583096,-0.2523289297600407,0.025821177587219524,0.008360933457023989
CFG,0.2859112251993912,3.949907231397822e-32,0.4471015964070397,0.4749310094570541,0.08830545361113146,0.3608799412781962,-0.2859112251993912,0.02782941305001435,0.27257448766706477
CHD,0.06503554018280365,2.857379699309063e-32,0.45997160150864874,0.47714947666253554,0.02410986328393698,0.37455168383110865,-0.06503554018280365,0.0171778751538868,0.35044182054717166
CHRW,0.1836436334802084,3.14145436610618e-32,0.49002916362672905,0.5238895299825376,0.13620034156435293,0.27684927705099577,-0.1836436334802084,0.033860366355808524,0.14064893548664284
CHTR,0.11791731964052476,1.2087836669135887e-31,0.5797191825445156,0.596598872929368,0.13151485586201156,0.12362620770532748,-0.11791731964052476,0.016879690384852375,-0.00788864815668408
CI,0.05550037828610602,3.389636702121535e-32,0.44792256070173897,0.4753615677910865,0.09680225001493716,0.1829800209499527,-0.05550037828610602,0.027439007089347545,0.08617777093501554
