ticker,baseline_pca
A,0.05088241885014897
AAPL,0.0428600899929243
ABBV,0.05605394077882329
ABNB,0.41004623605760904
ABT,0.0678430394762155
ACGL,0.03211045147525906
ACN,0.052042971457966575
ADBE,0.015144796692079866
ADI,0.10669422394887387
ADM,0.05644878591133955
ADP,0.2032944715005188
ADSK,0.12443570197906065
AEE,0.15234568593095818
AEP,0.1738407743825225
AES,0.07488148245771596
AFL,0.06055815034422278
AIG,0.03829519051213151
AIZ,0.20954570385281227
AJG,0.051111802041385296
AKAM,0.08734048154765335
ALB,0.14958210698852162
ALGN,0.00958477479155022
ALL,0.17160025438071802
ALLE,0.15104623813642049
AMAT,0.08670954203875317
AMCR,0.1774978063804509
AMD,0.02508850418374486
AME,0.1042854406083137
AMGN,0.006291158893493457
AMP,0.4164368844202629
AMT,0.13870614935837802
AMZN,0.023801248933970176
ANET,0.08330503869758828
ANSS,0.05273766871793721
AON,0.06279520063218406
AOS,0.15085529292308367
APA,0.18264740330644508
APD,0.07817007257072099
APH,0.048645625947902144
APTV,0.07922693588373947
ARE,0.2831058954009893
ATO,0.1643821690275777
AVB,0.02233732351782149
AVGO,0.02351286527245897
AVY,0.1913726285272028
AWK,0.017420400390739606
AXON,0.02517935341174927
AXP,0.26386835266299546
AZO,0.10520846215213955
BA,0.01635642901757421
BAC,0.04952673128835372
BALL,0.293059205107453
BAX,0.08090095756723335
BBY,0.02836543035550345
BDX,0.010700031773617643
BEN,0.1551156717938479
BF.B,0.10497609626600433
BG,0.22659745276244897
BIIB,0.028505102128102686
BK,0.04562075335545913
BKNG,0.03334272598719937
BKR,0.042575339694191285
BLK,0.11024689680062459
BMY,0.01786275067245964
BR,0.06104005641915173
BRK.B,0.26539840691245614
BRO,0.027459200676686335
BSX,0.11805390997116588
BWA,0.19168534771983456
BX,0.12796376821706743
BXP,0.20382739830605773
C,0.04435544605152705
CAG,0.2409958182788297
CAH,0.0009750668496020282
CARR,0.10903884795466179
CAT,0.031858861136466604
CB,0.09548768919023165
CBOE,0.12943821165647337
CBRE,0.060079969881835484
CCI,0.19070599713630865
CCL,0.2153926589682354
CDNS,0.017920740710060865
CDW,0.2661931642969603
CE,0.12409621544174797
CEG,0.4640516688738744
CF,0.2523289297600407
CFG,0.2859112251993912
CHD,0.06503554018280365
CHRW,0.1836436334802084
CHTR,0.11791731964052476
CI,0.05550037828610602
CINF,0.09473496094252899
CL,0.011819138799108248
CLX,0.07300425754057173
CMCSA,0.12390428542606302
CME,0.21173927645925775
CMG,0.03439369589443093
CMI,0.13037601667411083
CMS,0.2105076199212915
CNC,0.078179590307503
CNP,0.1065041721948854
COF,0.0855743522264323
COO,0.05274689691284447
COP,0.013300697090111757
COR,0.20456013017136254
COST,0.5337645123414675
CPB,0.009490500130661897
CPRT,0.16279977317983574
CPT,0.06136052724558383
CRL,0.17102030968844206
CRM,0.014208390902306477
CSCO,0.07705244788757967
CSGP,0.09226165976570218
CSX,0.08772395553026946
CTAS,0.08078776436635116
CTLT,0.011239368823653546
CTRA,0.12172565602887957
CTSH,0.124123981533014
CTVA,0.0653971898690179
CVS,0.016399453000986223
CVX,0.040810082994433644
CZR,0.04931119340429114
D,0.14530147280119785
DAL,0.06429635011185683
DD,0.4290301181058121
DE,0.03325080581996234
DFS,0.2696534067168883
DG,0.12000335594066175
DGX,0.15034356999464052
DHI,0.041678378720931115
DHR,0.0509046733181904
DIS,0.15090438095803418
DLR,0.2792118284571664
DLTR,0.058533339919347255
DOV,0.3840708523475546
DOW,0.11910581157889881
DPZ,0.12038341923374275
DRI,0.04370414593738459
DTE,0.43657243339105506
DUK,0.03862842566359281
DVA,0.009927491509583906
DVN,0.1995207456694668
DXCM,0.12081769724103703
EA,0.17542055112065602
EBAY,0.044000763399749926
ECL,0.08524763202072853
ED,0.18008951103026163
EFX,0.11954932949624458
EG,0.06315710681337289
EIX,0.03988033899041331
EL,0.08208678566211247
ELV,0.026942665245300843
EMN,0.03352067765387164
EMR,0.014886348930141515
ENPH,0.13531078742604688
EOG,0.22692218597360067
EPAM,0.32914265264186365
EQIX,0.08329712970344913
EQR,0.08532589976222037
EQT,0.11871440839871834
ES,0.13828519865047798
ESS,0.4444809005789576
ETN,0.2442169819916783
ETR,0.13838228021965612
EVRG,0.33422158508636074
EW,0.07746991984780556
EXC,0.3604094197097288
EXPD,0.08452261033939086
EXPE,0.029327218521997656
EXR,0.13611882385706175
F,0.024526594266962288
FANG,0.27544526125027086
FAST,0.9750907480760126
FCX,0.039033615085376165
FDS,0.10627007326979009
FDX,0.41242219821728854
FE,0.08127662610082585
FFIV,0.16074231661866809
FI,0.08197056627750406
FICO,0.08465357261367268
FIS,0.23474788555180404
FITB,0.1924822181679945
FMC,0.04213757527761999
FOXA,0.2130274747286677
FRT,0.08489184255878351
FSLR,0.03720553287512143
FTNT,0.025046832655325143
FTV,0.31638339506168656
GD,0.16599434396080334
GE,0.1137226821786182
GEN,0.07077654680430145
GILD,0.1707815219166955
GIS,0.006873711887800971
GL,0.03543192276642063
GLW,0.04708552480787262
GM,0.020273517282444618
GNRC,0.31058237995469323
GOOGL,0.1082613727311974
GPC,0.1071587082261707
GPN,0.04677462203217138
GRMN,0.019761097918785334
GS,0.06736886636131943
GWW,0.07733675990769388
HAL,0.016494600368312903
HAS,0.1676587461130371
HBAN,0.14057537308766713
HCA,0.457694810682246
HD,0.12330259232233307
HES,0.08283417806059609
HIG,0.04342702516065943
HII,0.2026704116390169
HLT,0.04151057209799801
HOLX,0.08829522758446738
HON,0.07415310905147048
