,SPY
2013-01-03,-0.0022335284516127878
2013-01-04,0.004354183771653336
2013-01-07,-0.002740063082948123
2013-01-08,-0.0028806766269260896
2013-01-09,0.0025416567462081597
2013-01-10,0.007917863118238938
2013-01-11,-6.795407481668061e-05
2013-01-14,-0.0006806343842117398
2013-01-15,0.0006806343842116992
2013-01-16,-0.0001359220044716149
2013-01-17,0.006439313384616273
2013-01-18,0.002227653712173759
2013-01-22,0.005378335165398707
2013-01-23,0.0016079586238617186
2013-01-24,0.00026843010261992667
2013-01-25,0.005605669580110222
2013-01-28,-0.0011980438316280186
2013-01-29,0.003923213216861725
2013-01-30,-0.003923213216861745
2013-01-31,-0.0024688108209830915
2013-02-01,0.010234641055822303
2013-02-04,-0.01133724201076553
2013-02-05,0.010080065121241313
2013-02-06,0.0007283755669496936
2013-02-07,-0.0013240453351211045
2013-02-08,0.005549085372815319
2013-02-11,-0.00019834915043154247
2013-02-12,0.001646568268975154
2013-02-13,0.0008607894724992672
2013-02-14,0.0009135244804490964
2013-02-15,-0.0011827964906019023
2013-02-19,0.007466451368036962
2013-02-20,-0.012541817999261287
2013-02-21,-0.006097405339739596
2013-02-22,0.009725409866062325
2013-02-25,-0.019210067690142944
2013-02-26,0.006821756959367124
2013-02-27,0.01251990186269809
2013-02-28,-0.0019765013428605645
2013-03-01,0.0032922723158397785
2013-03-04,0.005311198214479973
2013-03-05,0.008918815538994327
2013-03-06,0.0013601780077980908
2013-03-07,0.0017849218380087961
2013-03-08,0.004280542744592028
2013-03-11,0.0037887266267037584
2013-03-12,-0.0022459919847325135
2013-03-13,0.0014446005428373828
2013-03-14,0.005277511128266893
2013-03-15,-0.0013226811781725065
2013-03-18,-0.005534176172554866
2013-03-19,-0.0023260336869983514
2013-03-20,0.006961143408459924
2013-03-21,-0.008585668604143202
2013-03-22,0.008007157398000227
2013-03-25,-0.004185812896028237
2013-03-26,0.007970447308866879
2013-03-27,0.0
2013-03-28,0.0030688649190896734
2013-04-01,-0.003965071444901501
2013-04-02,0.004921967694681491
2013-04-03,-0.010191098791945071
2013-04-04,0.004050607659660792
2013-04-05,-0.004514444979810106
2013-04-08,0.0067573635867512975
2013-04-09,0.0034509781525308304
2013-04-10,0.012174412902453581
2013-04-11,0.0032717921421062416
2013-04-12,-0.002453033390284676
2013-04-15,-0.023458853833018416
2013-04-16,0.014667521824194235
2013-04-17,-0.014718997859933192
2013-04-18,-0.006273742168901242
2013-04-19,0.008656283358923225
2013-04-22,0.004428031734773144
2013-04-23,0.010256195165174495
2013-04-24,0.0006335453924571919
2013-04-25,0.00404552341755594
2013-04-26,-0.0017676119083689886
2013-04-29,0.006676308594368801
2013-04-30,0.00238226194839003
2013-05-01,-0.008806306667198852
2013-05-02,0.009244708185398198
2013-05-03,0.01007698754457491
2013-05-06,0.002549968651827398
2013-05-07,0.005055582291744665
2013-05-08,0.0045414348537223224
2013-05-09,-0.0028143904097406355
2013-05-10,0.003242970545371169
2013-05-13,0.0007950183280464154
2013-05-14,0.010281103416231023
2013-05-15,0.005341547657689096
2013-05-16,-0.004676378031637314
2013-05-17,0.009630520394475364
2013-05-20,-5.960468847838468e-05
2013-05-21,0.001436146345474894
2013-05-22,-0.007444980947991877
2013-05-23,-0.002897353633966923
2013-05-24,-0.0008579155111796513
2013-05-28,0.005982622725724765
2013-05-29,-0.006515569357082709
2013-05-30,0.0036854157745433627
2013-05-31,-0.014486351264707618
2013-06-03,0.005521565279123936
2013-06-04,-0.004818340408275659
2013-06-05,-0.014087722758020902
2013-06-06,0.008999994400570178
2013-06-07,0.01264017999677696
2013-06-10,0.0
2013-06-11,-0.010381126993407097
2013-06-12,-0.00829965640997458
2013-06-13,0.015094233698171892
2013-06-14,-0.0063224499240147935
2013-06-17,0.0077218607852227
2013-06-18,0.007845039187447049
2013-06-19,-0.01388351439133666
2013-06-20,-0.0250899985828344
2013-06-21,0.003205365225061427
2013-06-24,-0.012716285969224438
2013-06-25,0.009599541015221761
2013-06-26,0.00982116314036463
2013-06-27,0.005852192209617904
2013-06-28,-0.0041055800664956095
2013-07-01,0.005842766671064421
2013-07-02,-0.0009303686461077237
2013-07-03,0.00043422924424295367
2013-07-05,0.010731188312744305
2013-07-08,0.005658174093462593
2013-07-09,0.007201533955643294
2013-07-10,0.0003758433399004572
2013-07-11,0.013516682967140314
2013-07-12,0.000418075915687398
2013-07-15,0.003842770238564301
2013-07-16,-0.003753778384907507
2013-07-17,0.0025343994916540474
2013-07-18,0.005462147237090292
2013-07-19,0.0017755830252945272
2013-07-22,0.0019483533923118853
2013-07-23,-0.0021260588683474717
2013-07-24,-0.0036724168098662404
2013-07-25,0.002429763502355723
2013-07-26,0.001065638818954066
2013-07-29,-0.003080005069065224
2013-07-30,-1.1596883627558035e-05
2013-07-31,0.0007230983120116395
2013-08-01,0.01149186304776698
2013-08-02,0.0016983641413736172
2013-08-05,-0.0014635405121694017
2013-08-06,-0.005699276906201504
2013-08-07,-0.0032456802970163828
2013-08-08,0.0036581168853399098
2013-08-09,-0.002889912978961397
2013-08-12,-0.0011756491796178228
2013-08-13,0.002945901266421195
2013-08-14,-0.005142027102508138
2013-08-15,-0.014085089120388167
2013-08-16,-0.003311138289940941
2013-08-19,-0.006412815925724551
2013-08-20,0.004904053981826171
2013-08-21,-0.006178943436529098
2013-08-22,0.00907352328250972
2013-08-23,0.003366698606486644
2013-08-26,-0.0037280632144249064
2013-08-27,-0.016214750371036212
2013-08-28,0.0035443975042630162
2013-08-29,0.0015851582480654143
2013-08-30,-0.003172086532557495
