ticker,name,days_since_ipo,morningstar_sector,morningstar_industry,fossil_fuels,weapons,tobacco
HIG,The Hartford Financial Services Group Inc,10570,Financial Services,Insurance - Property & Casualty,FALSE,FALSE,FALSE
HII,Huntington Ingalls Industries Inc,4994,Industrials,Aerospace & Defense,FALSE,TRUE,FALSE
HLT,Hilton Worldwide Holdings Inc,3998,Consumer Cyclical,Lodging,FALSE,FALSE,TRUE
HOLX,Hologic Inc,12685,Healthcare,Medical Instruments & Supplies,FALSE,FALSE,FALSE
HON,Honeywell International Inc,34763,Industrials,Conglomerates,FALSE,FALSE,FALSE
HPE,Hewlett Packard Enterprise Co,3322,Technology,Communication Equipment,FALSE,FALSE,FALSE
HPQ,HP Inc,24488,Technology,Computer Hardware,FALSE,FALSE,FALSE
HRL,Hormel Foods Corp,12729,Consumer Defensive,Packaged Foods,FALSE,FALSE,FALSE
HSIC,Henry Schein Inc,10612,Healthcare,Medical Distribution,FALSE,FALSE,FALSE
HST,Host Hotels & Resorts Inc,15206,Real Estate,REIT - Hotel & Motel,FALSE,FALSE,TRUE
HSY,The Hershey Co,28189,Consumer Defensive,Confectioners,FALSE,FALSE,FALSE
HUBB,Hubbell Inc,11930,Industrials,Electrical Equipment & Parts,FALSE,FALSE,FALSE
HUM,Humana Inc,19547,Healthcare,Healthcare Plans,FALSE,FALSE,FALSE
HWM,Howmet Aerospace Inc,2957,Industrials,Aerospace & Defense,FALSE,TRUE,FALSE
IBM,International Business Machines Corp,27692,Technology,Information Technology Services,FALSE,FALSE,FALSE
ICE,Intercontinental Exchange Inc,6946,Financial Services,Financial Data & Stock Exchanges,FALSE,FALSE,FALSE
IDXX,IDEXX Laboratories Inc,12208,Healthcare,Diagnostics & Research,FALSE,FALSE,FALSE
IEX,IDEX Corp,13019,Industrials,Specialty Industrial Machinery,FALSE,FALSE,FALSE
IFF,International Flavors & Fragrances Inc,22180,Basic Materials,Specialty Chemicals,FALSE,FALSE,TRUE
INCY,Incyte Corp,11342,Healthcare,Biotechnology,FALSE,FALSE,FALSE
INTC,Intel Corp,19399,Technology,Semiconductors,FALSE,FALSE,FALSE
INTU,Intuit Inc,11578,Technology,Software - Application,FALSE,FALSE,FALSE
INVH,Invitation Homes Inc,2851,Real Estate,REIT - Residential,FALSE,FALSE,FALSE
IP,International Paper Co,27365,Consumer Cyclical,Packaging & Containers,FALSE,FALSE,FALSE
IPG,The Interpublic Group of Companies Inc,19450,Communication Services,Advertising Agencies,FALSE,FALSE,FALSE
IQV,IQVIA Holdings Inc,4215,Healthcare,Diagnostics & Research,FALSE,FALSE,FALSE
IR,Ingersoll Rand Inc,2751,Industrials,Specialty Industrial Machinery,FALSE,FALSE,FALSE
IRM,Iron Mountain Inc,10522,Real Estate,REIT - Specialty,FALSE,FALSE,FALSE
ISRG,Intuitive Surgical Inc,8928,Healthcare,Medical Instruments & Supplies,FALSE,FALSE,FALSE
IT,Gartner Inc,11347,Technology,Information Technology Services,FALSE,FALSE,FALSE
ITW,Illinois Tool Works Inc,18882,Industrials,Specialty Industrial Machinery,FALSE,FALSE,FALSE
IVZ,Invesco Ltd,11224,Financial Services,Asset Management,FALSE,FALSE,FALSE
J,Jacobs Solutions Inc,12761,Industrials,Engineering & Construction,FALSE,TRUE,FALSE
JBHT,JB Hunt Transport Services Inc,14976,Industrials,Integrated Freight & Logistics,FALSE,FALSE,FALSE
JBL,Jabil Inc,9698,Technology,Electronic Components,FALSE,FALSE,FALSE
JCI,Johnson Controls International PLC,21592,Industrials,Building Products & Equipment,FALSE,FALSE,FALSE
JKHY,Jack Henry & Associates Inc,14247,Technology,Information Technology Services,FALSE,FALSE,FALSE
JNJ,Johnson & Johnson,29278,Healthcare,Drug Manufacturers - General,FALSE,FALSE,FALSE
JNPR,Juniper Networks Inc,9282,Technology,Communication Equipment,FALSE,FALSE,FALSE
JPM,JPMorgan Chase & Co,20351,Financial Services,Banks - Diversified,FALSE,FALSE,FALSE
K,Kellanova Co,23936,Consumer Defensive,Packaged Foods,FALSE,FALSE,FALSE
