ticker,name,days_since_ipo,morningstar_sector,morningstar_industry,fossil_fuels,weapons,tobacco
SYY,Sysco Corp,16012,Consumer Defensive,Food Distribution,FALSE,FALSE,FALSE
T,AT&T Inc,28511,Communication Services,Telecom Services,FALSE,FALSE,FALSE
TAP,Molson Coors Beverage Co,18063,Consumer Defensive,Beverages - Brewers,FALSE,FALSE,FALSE
TDG,TransDigm Group Inc,6827,Industrials,Aerospace & Defense,FALSE,TRUE,FALSE
TDY,Teledyne Technologies Inc,9131,Technology,Scientific & Technical Instruments,FALSE,TRUE,FALSE
TECH,Bio-Techne Corp,11671,Healthcare,Biotechnology,FALSE,FALSE,FALSE
TEL,TE Connectivity PLC,6371,Technology,Electronic Components,FALSE,FALSE,FALSE
TER,Teradyne Inc,16628,Technology,Semiconductor Equipment & Materials,FALSE,FALSE,FALSE
TFC,Truist Financial Corp,12266,Financial Services,Banks - Regional,FALSE,FALSE,FALSE
TFX,Teleflex Inc,11166,Healthcare,Medical Instruments & Supplies,FALSE,FALSE,FALSE
TGT,Target Corp,15206,Consumer Defensive,Discount Stores,FALSE,FALSE,FALSE
TJX,TJX Companies Inc,21555,Consumer Cyclical,Apparel Retail,FALSE,FALSE,FALSE
TMO,Thermo Fisher Scientific Inc,16158,Healthcare,Diagnostics & Research,FALSE,FALSE,FALSE
TMUS,T-Mobile US Inc,6427,Communication Services,Telecom Services,FALSE,FALSE,FALSE
TPR,Tapestry Inc,8814,Consumer Cyclical,Luxury Goods,FALSE,FALSE,FALSE
TRGP,Targa Resources Corp,5099,Energy,Oil & Gas Midstream,TRUE,FALSE,FALSE
TRMB,Trimble Inc,12563,Technology,Scientific & Technical Instruments,FALSE,FALSE,FALSE
TROW,T. Rowe Price Group Inc,14107,Financial Services,Asset Management,FALSE,FALSE,FALSE
TRV,The Travelers Companies Inc,13344,Financial Services,Insurance - Property & Casualty,FALSE,FALSE,FALSE
TSCO,Tractor Supply Co,11236,Consumer Cyclical,Specialty Retail,FALSE,FALSE,FALSE
TSLA,Tesla Inc,5260,Consumer Cyclical,Auto Manufacturers,FALSE,FALSE,FALSE
TSN,Tyson Foods Inc,14016,Consumer Defensive,Farm Products,FALSE,FALSE,FALSE
TT,Trane Technologies PLC,27925,Industrials,Building Products & Equipment,FALSE,FALSE,FALSE
TTWO,Take-Two Interactive Software Inc,10084,Communication Services,Electronic Gaming & Multimedia,FALSE,FALSE,FALSE
TXN,Texas Instruments Inc,25985,Technology,Semiconductors,FALSE,FALSE,FALSE
TXT,Textron Inc,20779,Industrials,Aerospace & Defense,FALSE,TRUE,FALSE
TYL,Tyler Technologies Inc,20332,Technology,Software - Application,FALSE,FALSE,FALSE
UAL,United Airlines Holdings Inc,20202,Industrials,Airlines,FALSE,FALSE,FALSE
UBER,Uber Technologies Inc,2023,Technology,Software - Application,FALSE,FALSE,FALSE
UDR,UDR Inc,12618,Real Estate,REIT - Residential,FALSE,FALSE,FALSE
UHS,Universal Health Services Inc,12221,Healthcare,Medical Care Facilities,FALSE,FALSE,FALSE
ULTA,Ulta Beauty Inc,6238,Consumer Cyclical,Specialty Retail,FALSE,FALSE,FALSE
UNH,UnitedHealth Group Inc,12097,Healthcare,Healthcare Plans,FALSE,FALSE,FALSE
UNP,Union Pacific Corp,20244,Industrials,Railroads,FALSE,FALSE,FALSE
UPS,United Parcel Service Inc,9144,Industrials,Integrated Freight & Logistics,FALSE,FALSE,FALSE
URI,United Rentals Inc,9836,Industrials,Rental & Leasing Services,FALSE,FALSE,FALSE
USB,U.S. Bancorp,18831,Financial Services,Banks - Regional,FALSE,FALSE,FALSE
V,Visa Inc,6092,Financial Services,Credit Services,FALSE,FALSE,FALSE
VICI,VICI Properties Inc,2593,Real Estate,REIT - Diversified,FALSE,FALSE,TRUE
VLO,Valero Energy Corp,9975,Energy,Oil & Gas Refining & Marketing,TRUE,FALSE,FALSE
VLTO,Veralto Corp,422,Industrials,Pollution & Treatment Controls,FALSE,FALSE,FALSE
VMC,Vulcan Materials Co,24796,Basic Materials,Building Materials,FALSE,FALSE,FALSE
VRSK,Verisk Analytics Inc,5525,Industrials,Consulting Services,FALSE,FALSE,FALSE
VRSN,VeriSign Inc,9793,Technology,Software - Infrastructure,FALSE,FALSE,FALSE
VRTX,Vertex Pharmaceuticals Inc,12168,Healthcare,Biotechnology,FALSE,FALSE,FALSE
VST,Vistra Corp,2977,Utilities,Utilities - Independent Power Producers,TRUE,FALSE,FALSE
VTR,Ventas Inc,10063,Real Estate,REIT - Healthcare Facilities,FALSE,FALSE,FALSE
VTRS,Viatris Inc,14102,Healthcare,Drug Manufacturers - Specialty & Generic,FALSE,FALSE,FALSE
VZ,Verizon Communications Inc,14829,Communication Services,Telecom Services,FALSE,FALSE,FALSE
WAB,Westinghouse Air Brake Technologies Corp,10753,Industrials,Railroads,FALSE,FALSE,FALSE
WAT,Waters Corp,10598,Healthcare,Diagnostics & Research,FALSE,FALSE,FALSE
WBA,Walgreens Boots Alliance Inc,14389,Healthcare,Pharmaceutical Retailers,FALSE,FALSE,TRUE
WBD,Warner Bros. Discovery Inc,7079,Communication Services,Entertainment,FALSE,FALSE,FALSE
WDC,Western Digital Corp,12349,Technology,Computer Hardware,FALSE,FALSE,FALSE
WEC,WEC Energy Group Inc,13839,Utilities,Utilities - Regulated Electric,TRUE,FALSE,FALSE
WELL,Welltower Inc,11663,Real Estate,REIT - Healthcare Facilities,FALSE,FALSE,FALSE
WFC,Wells Fargo & Co,22628,Financial Services,Banks - Diversified,FALSE,FALSE,FALSE
WM,Waste Management Inc,12107,Industrials,Waste Management,FALSE,FALSE,FALSE
WMB,Williams Companies Inc,13688,Energy,Oil & Gas Midstream,TRUE,FALSE,FALSE
WMT,Walmart Inc,19776,Consumer Defensive,Discount Stores,FALSE,FALSE,TRUE
WRB,WR Berkley Corp,14686,Financial Services,Insurance - Property & Casualty,FALSE,FALSE,FALSE
WST,West Pharmaceutical Services Inc,16097,Healthcare,Medical Instruments & Supplies,FALSE,FALSE,FALSE
WTW,Willis Towers Watson PLC,8564,Financial Services,Insurance Brokers,FALSE,FALSE,FALSE
WY,Weyerhaeuser Co,22267,Real Estate,REIT - Specialty,TRUE,FALSE,FALSE
WYNN,Wynn Resorts Ltd,8064,Consumer Cyclical,Resorts & Casinos,FALSE,FALSE,TRUE
XEL,Xcel Energy Inc,11432,Utilities,Utilities - Regulated Electric,TRUE,FALSE,FALSE
XOM,Exxon Mobil Corp,38228,Energy,Oil & Gas Integrated,TRUE,FALSE,FALSE
XYL,Xylem Inc,4789,Industrials,Specialty Industrial Machinery,FALSE,FALSE,FALSE
YUM,Yum Brands Inc,9928,Consumer Cyclical,Restaurants,FALSE,FALSE,FALSE
ZBH,Zimmer Biomet Holdings Inc,8508,Healthcare,Medical Devices,FALSE,FALSE,FALSE
ZBRA,Zebra Technologies Corp,12153,Technology,Communication Equipment,FALSE,FALSE,FALSE
ZTS,Zoetis Inc,4312,Healthcare,Drug Manufacturers - Specialty & Generic,FALSE,FALSE,FALSE
