ticker,pca_score,if_score,ae_score,composite_score_raw,composite_score,annual_return
FAST,0.9750907480760117,0.508843445186886,0.9518991588509388,4.477976084668076,1.0,0.1002541546822122
ABNB,0.4100462360576097,0.6450580690511181,0.7933739959478262,3.4649727407775304,0.8240616734034868,-0.0151097574130549
COST,0.5337645123414677,0.5174242743725936,0.9460895565273763,3.1893922988959384,0.7761988878758865,0.1824901557685614
MTCH,0.1425419110094773,0.6087345079324248,0.8487208780258224,2.4918268944165796,0.6550457932726974,-0.2504885752963552
MTD,0.36141593936242183,0.49747983136471785,0.9339725870609686,2.4851464222935875,0.6538855294954034,0.1619366543933316
CEG,0.46405166887387567,0.4998559356845112,0.7556090545992503,2.427597752527009,0.6438904818801596,0.6527114509089613
UPS,0.10570592543921892,0.5122990492243075,1.1202723268141763,2.2270199007587683,0.6090541392310866,0.0476599651197942
ESS,0.44448090057895745,0.49129239246655854,0.600846565053759,1.9654089231841756,0.5636175689657026,0.0528708654304086
BRK.B,0.2653984069124561,0.6585379061473682,0.25278931211227496,1.953094630048553,0.5614788236786639,0.1335916497023918
PANW,0.5191859377324651,0.5610531879198717,0.24149527577976715,1.9487367155862496,0.5607219414999696,0.2584878491551861
PCAR,0.48278136377741876,0.47301916124956617,0.5981707334628308,1.935181938392044,0.5583677490569536,0.101787457814188
NWSA,0.24982996262611926,0.5325950621839135,0.6911519023975722,1.8883314471450126,0.5502307600924651,0.0482003115112663
MET,0.5133683681316193,0.5063240386805992,0.3956373068455497,1.8444027972129975,0.5426012362559497,0.0776410659414874
DD,0.42903011810581276,0.48454042719252766,0.5434617426534379,1.741538993491003,0.5247358603878959,0.0474767637956551
PAYC,0.37870920631408095,0.5208988450736909,0.48083582104551686,1.7325925624180218,0.523182045070815,0.244247054859224
NFLX,0.23426531503641712,0.6215423525380572,0.3236214480534554,1.7272728265163537,0.5222581138339443,0.3427830581983359
META,0.1746582673714726,0.5754655167130498,0.5215203563719527,1.6212512618932862,0.5038442983461426,0.2544901339560007
SCHW,0.4669965634345632,0.4897250945245145,0.39705463178882494,1.5784938979826537,0.4964182033569363,0.1309879831705096
MRNA,0.2381602252749671,0.4735988836986753,0.733268724887668,1.489617828760435,0.4809822159164816,0.1828351808925887
MNST,0.39067524869632125,0.5697197242492502,0.1711974957945867,1.471826569861038,0.477892231724738,0.1485036480016719
VMC,0.4514193106028376,0.5304615826179496,0.2227248883121903,1.4659722334734693,0.47687545112517343,0.1364560974967956
TFC,0.4855042733201428,0.46242223305796337,0.4058168132141038,1.4433412498596685,0.47294490399494066,0.0299014018504858
AOS,0.150855292923084,0.4959812270489615,0.7531316301312512,1.4398855259419503,0.4723447141861609,0.1303338618724598
PKG,0.2650270534191408,0.48086233357356595,0.6429290746146313,1.4308068803876015,0.47076793587024696,0.1501065774635928
GNRC,0.310582379954694,0.5780542477629725,0.22640981098468113,1.412617271887406,0.4676087663568678,0.1326675483095759
ETN,0.24421698199167796,0.5231127422066146,0.4898906541165816,1.3603581560500455,0.45853240797632533,0.1506395974453868
GOOGL,0.10826137273119724,0.5340472615237815,0.6289901875790022,1.3337894234549323,0.4539179529690775,0.1902041947367812
HCA,0.4576948106822463,0.47152176948288355,0.3407202871560615,1.2873224862660189,0.4458475796377472,0.2059522451819393
FDX,0.4124221982172884,0.4762312336459195,0.38659172841007267,1.2857368853533626,0.445572192618637,0.0903828019364116
DTE,0.4365724333910552,0.4659503957517009,0.3882542145848596,1.2835338519824655,0.4451895699875771,0.071141401100833
DOV,0.38407085234755467,0.4713591605086719,0.4382693777135296,1.2743695937352948,0.4435979224671325,0.1214034361957247
PRU,0.40214113601165563,0.47762201488361034,0.37968895503705263,1.2501785458970214,0.43939642352741926,0.0653383935279121
EXC,0.3604094197097293,0.4765242056888312,0.4372467027976424,1.240009820145735,0.4376303201842368,0.0494123614818336
NEM,0.08547764696615373,0.5571826170592756,0.515599368418902,1.1962124102159937,0.43002359009911595,-0.0030109757912736
STZ,0.281793204580598,0.5648012534085057,0.21291186994072173,1.1935296519696292,0.42955764889628084,0.1543054780741669
AMP,0.4164368844202626,0.45968913750515317,0.377056060046336,1.1496690836423213,0.4219399494665419,0.1734291458198343
BX,0.1279637682170674,0.6082681893005207,0.25216117274731187,1.1462179136430302,0.42134055058189124,0.1995975958959756
ZBRA,0.2893631838171694,0.5051663413853316,0.3890151490913437,1.139858073784087,0.4202359741864108,0.1894620297066916
JKHY,0.16825929110727483,0.50137966197431,0.571542498319849,1.139426243870687,0.4201609740071951,0.1268803628586628
ARE,0.28310589540098996,0.464001117242489,0.5396343663555674,1.131097185800426,0.4187143839758346,0.0381352522537257
EVRG,0.3342215850863605,0.48515327233205324,0.3864644246479619,1.116432777082007,0.4161674708328463,0.0596345567851507
LYV,0.25141435196526646,0.5219796196816632,0.3704161836913615,1.1136201330447069,0.4156789710779159,0.2108341410677693
NSC,0.2655654226416984,0.47414173293177203,0.5105610219057177,1.0926937439330158,0.4120444777623476,0.1162375178251853
UHS,0.26034680119608483,0.5125081547926853,0.36885248956342137,1.0643609976945074,0.40712364902950055,0.1199917382262645
MSCI,0.4247543561783271,0.4605172928558762,0.3011982236807152,1.0163362842653423,0.39878272126557657,0.2444456834596691
PGR,0.3448266254409556,0.4588064516026451,0.4085363186541884,0.9935706242949442,0.3948287835582497,0.2123572826510691
CAG,0.24099581827882952,0.47259615497157575,0.48747906625312026,0.9558505228683127,0.38827755984899276,0.0180101179751945
LNT,0.34982517851828515,0.46718736311201603,0.3480470926198214,0.941804940505845,0.38583812440997894,0.0794598197442593
