ticker,ae_recon_error
COST,1.2783754529244549
FAST,1.1596872665873994
MTD,0.9413616674277339
ESS,0.8031797075903392
CEG,0.7645884873468206
VMC,0.6883908899409378
ABNB,0.6871896525023359
MNST,0.6437448929080907
TSN,0.6231197286725147
NEM,0.6110844851633229
CHD,0.5662929041097094
HCA,0.5349035756279176
META,0.5134684648702951
PRU,0.510343021654844
CSX,0.5031926641101867
DTE,0.4990799802775351
NSC,0.49732369649224206
DD,0.4942569149165079
EXC,0.4940633484183772
SJM,0.4837292498779158
KLAC,0.48313913826810034
PANW,0.4782516474043563
TFC,0.4774579039545123
ZBRA,0.47585550656819836
AEP,0.4649068336249258
SCHW,0.458076506672367
MET,0.4519746127709606
PCAR,0.45101978202879267
ARE,0.448464171857764
PAYC,0.447683716733804
MGM,0.44162566463036634
PGR,0.43598539232133415
AMP,0.4311630520628645
PAYX,0.4296480113406172
RTX,0.42204965568241537
OTIS,0.41959342799849214
DOV,0.4193616149755256
FDX,0.4154272382442313
ALB,0.41252658583208546
PKG,0.40801152816403935
EPAM,0.40459308738030547
STZ,0.4033429485544298
EVRG,0.4030951036274665
CMS,0.4009821288635074
GOOGL,0.3975158581476785
GNRC,0.3936259523832636
NTRS,0.3911624712628937
MSCI,0.3875081482538482
ALLE,0.3874159774033011
KMX,0.3864700746137429
ROK,0.3860971874177922
AES,0.38588584982660445
FANG,0.3816710305836283
CAG,0.3804352730538586
SPG,0.3786787744944364
AEE,0.3763902695109777
MCD,0.374842238758894
SNA,0.3737569090128554
DFS,0.3726738751438481
IP,0.3679656166491927
MKTX,0.3617407476039762
BG,0.3594680490401521
ADSK,0.3563808868394825
DPZ,0.3562867591960162
RSG,0.35514177048742224
PYPL,0.351969772553572
LNT,0.35068980010514383
CE,0.34845836232786287
BRK.B,0.3476890870784875
ETN,0.3451825591322393
LYB,0.3419758088830426
TSCO,0.3391601328834302
CARR,0.3384781922549405
SBAC,0.33418967540278055
CL,0.33396349528790675
CBRE,0.33240041717517904
NRG,0.3322050483201122
CNP,0.3312567274949414
AXP,0.3285107074476788
MCO,0.3273378449573113
GEN,0.3258622669536994
DVN,0.3212711915207822
BALL,0.32072498787070153
PNC,0.3201383207598216
UNP,0.31841555197883975
HAS,0.3179319678641883
PH,0.3178847468120028
MS,0.3177106714203824
TDG,0.3159796856347925
ENPH,0.31590625651389703
FFIV,0.31471703143633306
WST,0.31436355885198264
MLM,0.31351671846412305
STE,0.3075674348758406
AIZ,0.3073020705251893
FOXA,0.3065329007398741
L,0.3057599415488878
TECH,0.30530961259422934
SO,0.30448065074418057
GE,0.3037068740603373
BEN,0.3031385913326701
MRNA,0.3027603363878767
SWK,0.3020106731417887
OKE,0.3015691779364618
RL,0.3006974465107972
DG,0.30041425946389383
CFG,0.29783214878070063
CME,0.2978164517593629
NDSN,0.2966895739634321
WMB,0.2962311959301768
DLR,0.29548270129240434
JKHY,0.2948813959817821
SLB,0.29466538486084715
DRI,0.2944443827311656
HST,0.2940752531870263
NUE,0.2927581161442294
CMG,0.2925663844195788
CB,0.2924304128978315
LHX,0.2911297491862577
NXPI,0.29030801438696535
NOW,0.28986313659691204
FTV,0.28948750298457415
KEYS,0.28789397193926775
STT,0.28727529617236286
AVY,0.2871237098783116
IVZ,0.28694870383656523
ROL,0.28618646847900203
MCHP,0.2830475822444463
STX,0.2828633195190917
J,0.2825953336094417
A,0.27804851768204863
EG,0.27791596004563757
DXCM,0.27535784062681407
ATO,0.273983578385299
SYF,0.2702259742129453
CDW,0.26898030491121916
EOG,0.2681144690820692
CF,0.26717344027058115
LW,0.2670108611301757
DOW,0.2662656854248024
ULTA,0.265020012926902
ETR,0.2649507589573274
XOM,0.264946615095101
KMB,0.2648373272009633
NI,0.2638944461555572
APD,0.2630034589575232
ACN,0.25839169412560903
CI,0.25829119552828056
LVS,0.25723087063610267
ADP,0.2557928221330187
EA,0.2542644476668674
UDR,0.2533205745201665
APA,0.2532676765333497
GD,0.2522053638668919
COR,0.25175346621286016
DIS,0.2515050062128591
JPM,0.251391470763806
ON,0.25089337362299285
FICO,0.2502768038851093
NTAP,0.2495263940447974
ACGL,0.24935059845254637
EQIX,0.24843910119134122
NWSA,0.2471262353854387
TFX,0.24618929184053134
HWM,0.24518037433694415
PNR,0.24463128109484522
BK,0.24430079244693556
GS,0.2440790270588032
EQT,0.24396599537452746
FIS,0.24221338508964976
ES,0.24122043764132772
APH,0.2392820776445294
ODFL,0.23892784034085696
HPE,0.23880263576837263
SYY,0.23846609146394188
MCK,0.2380976433813597
GLW,0.23796093886610664
NDAQ,0.23774861575776862
HII,0.2370533555914916
UHS,0.2346351399887757
CMI,0.23376151605331952
TT,0.23319348032160886
BWA,0.2320561798553805
VRTX,0.23113089672382012
VICI,0.22947800611209923
O,0.2292976964103384
INVH,0.22530722670319758
CBOE,0.22502980544469223
JCI,0.2244834253908924
CMCSA,0.2231918145589108
ORCL,0.2226764539025816
JNPR,0.22244682635440646
AME,0.22184478542040773
CHRW,0.22170662971513214
TAP,0.22107703364419962
ALL,0.22072244971089441
CCL,0.21959021402993392
UAL,0.218668171619265
GILD,0.21825888587964168
NCLH,0.21806089599022116
ADBE,0.21365329180760806
CRL,0.21336232878142508
NFLX,0.213285481474785
LYV,0.2129273472204991
WM,0.21169586832355075
NVR,0.21066478590601243
ROST,0.21037425176827648
PNW,0.20856633616202044
ROP,0.20778836463824896
USB,0.20737928162862226
BXP,0.20400369399083668
TJX,0.20270860324479134
INCY,0.19970385533017038
WEC,0.197010404711349
COP,0.19675862583070192
